Year	Format2	Format	Units	Revenue	CPI Adjustment
2019	Physical	CD		$351,782,325	$442,991,418
2019	Physical	CD Single		$34,583	$43,549
2019	Physical	DVD Audio		$710,942	$895,272
2019	Physical	LP/EP		$321,552,523	$404,923,722
2019	Physical	Music Video (Physical)		$15,212,708	$19,157,014
2019	Physical	Other Physical		$0	$0
2019	Physical	Other Tapes		$0	$0
2019	Physical	SACD		$245,003	$308,527
2019	Physical	Vinyl Single		$4,291,317	$5,403,957
2019	Physical	Total		$693,829,400	$873,723,460
2019	Streaming	Free Streaming		$1,006,594,360	$1,267,581,205
2019	Streaming	Other Streaming		$1,115,499,438	$1,404,722,873
2019	Streaming	Paid Subscriptions (Non-Premium)		$357,541,584	$450,243,922
2019	Streaming	Paid Subscriptions (Premium)		$3,341,021,928	$4,207,272,331
2019	Streaming	Total		$5,820,657,310	$7,329,820,331
2019	Synchronization	Synchronization		$281,112,736	$353,998,825
2019	Synchronization	Total		$281,112,736	$353,998,825
2019	Total	Total		$7,368,191,823	$9,278,595,071
2018	Digital Downloads	Download Album		$347,179,725	$445,117,349
2018	Digital Downloads	Download Music Video		$2,250,112	$2,884,857
2018	Digital Downloads	Download Single		$353,236,560	$452,882,787
2018	Digital Downloads	Kiosk		$1,395,793	$1,789,539
2018	Digital Downloads	Other Digital		$19,839,575	$25,436,217
2018	Digital Downloads	Ringtones & Ringbacks		$11,365,048	$14,571,069
2018	Digital Downloads	Total		$735,266,812	$942,681,818
2018	Physical	8 - Track		$0	$0
2018	Physical	Cassette		$0	$0
2018	Physical	Cassette Single		$0	$0
2018	Physical	CD		$372,059,223	$477,015,227
2018	Physical	CD Single		$9,113	$11,683
2018	Physical	DVD Audio		$183,888	$235,762
2018	Physical	LP/EP		$268,438,667	$344,163,842
2018	Physical	Music Video (Physical)		$16,163,914	$20,723,671
2018	Physical	Other Physical		$0	$0
2018	Physical	Other Tapes		$0	$0
2018	Physical	SACD		$499,374	$640,245
2018	Physical	Vinyl Single		$3,453,902	$4,428,230
2018	Physical	Total		$660,808,082	$847,218,661
2018	Streaming	Free Streaming		$752,689,023	$965,018,746
2018	Streaming	Other Streaming		$1,160,976,851	$1,488,482,480
2018	Streaming	Paid Subscriptions (Non-Premium)		$416,736,240	$534,295,402
2018	Streaming	Paid Subscriptions (Premium)		$2,537,710,176	$3,253,585,234
2018	Streaming	Total		$4,868,112,291	$6,241,381,862
2018	Synchronization	Synchronization		$285,513,491	$366,055,387
2018	Synchronization	Total		$285,513,491	$366,055,387
2018	Total	Total		$6,549,700,676	$8,397,337,728
2017	Digital Downloads	Download Album		$444,747,622	$584,135,867
2017	Digital Downloads	Download Music Video		$2,403,764	$3,157,127
2017	Digital Downloads	Download Single		$473,267,978	$621,594,780
2017	Digital Downloads	Kiosk		$1,570,318	$2,062,471
2017	Digital Downloads	Other Digital		$16,885,110	$22,177,068
2017	Digital Downloads	Ringtones & Ringbacks		$15,227,805	$20,000,347
2017	Digital Downloads	Total		$954,102,596	$1,253,127,660
2017	Physical	8 - Track		$0	$0
2017	Physical	Cassette		$0	$0
2017	Physical	Cassette Single		$0	$0
2017	Physical	CD		$574,743,925	$754,874,280
2017	Physical	CD Single		$117,097	$153,797
2017	Physical	DVD Audio		$169,721	$222,913
2017	Physical	LP/EP		$245,934,247	$323,012,440
2017	Physical	Music Video (Physical)		$20,883,121	$27,428,095
2017	Physical	Other Physical		$0	$0
2017	Physical	Other Tapes		$0	$0
2017	Physical	SACD		$501,479	$658,648
2017	Physical	Vinyl Single		$3,763,782	$4,943,388
2017	Physical	Total		$846,113,373	$1,111,293,560
2017	Streaming	Free Streaming		$614,264,328	$806,780,762
2017	Streaming	Other Streaming		$875,932,980	$1,150,458,923
2017	Streaming	Paid Subscriptions (Non-Premium)		$323,807,691	$425,292,181
2017	Streaming	Paid Subscriptions (Premium)		$1,847,868,495	$2,427,008,513
2017	Streaming	Total		$3,661,873,492	$4,809,540,379
2017	Synchronization	Synchronization		$232,086,523	$304,824,704
2017	Synchronization	Total		$232,086,523	$304,824,704
2017	Total	Total		$5,694,175,984	$7,478,786,303
2016	Digital Downloads	Download Album		$597,392,965	$801,336,975
2016	Digital Downloads	Download Music Video		$3,488,510	$4,679,453
2016	Digital Downloads	Download Single		$647,648,949	$868,749,852
2016	Digital Downloads	Kiosk		$2,015,979	$2,704,214
2016	Digital Downloads	Other Digital		$17,141,663	$22,993,656
2016	Digital Downloads	Ringtones & Ringbacks		$23,630,271	$31,697,410
2016	Digital Downloads	Total		$1,291,318,338	$1,732,161,561
2016	Physical	8 - Track		$0	$0
2016	Physical	Cassette		$0	$0
2016	Physical	Cassette Single		$0	$0
2016	Physical	CD		$635,936,005	$853,038,225
2016	Physical	CD Single		$48,662	$65,274
2016	Physical	DVD Audio		$1,535,810	$2,060,121
2016	Physical	LP/EP		$224,912,665	$301,695,609
2016	Physical	Music Video (Physical)		$30,165,198	$40,463,296
2016	Physical	Other Physical		$0	$0
2016	Physical	Other Tapes		$0	$0
2016	Physical	SACD		$719,295	$964,854
2016	Physical	Vinyl Single		$2,951,271	$3,958,805
2016	Physical	Total		$896,268,905	$1,202,246,185
2016	Streaming	Free Streaming		$476,792,473	$639,564,675
2016	Streaming	Other Streaming		$954,535,184	$1,280,403,992
2016	Streaming	Paid Subscriptions (Non-Premium)		$153,792,919	$206,296,291
2016	Streaming	Paid Subscriptions (Premium)		$1,202,543,213	$1,613,079,492
2016	Streaming	Total		$2,787,663,789	$3,739,344,450
2016	Synchronization	Synchronization		$214,838,977	$288,182,864
2016	Synchronization	Total		$214,838,977	$288,182,864
2016	Total	Total		$5,190,090,009	$6,961,935,059
2015	Digital Downloads	Download Album		$747,152,685	$1,014,866,347
2015	Digital Downloads	Download Music Video		$3,368,203	$4,575,071
2015	Digital Downloads	Download Single		$870,077,085	$1,181,836,016
2015	Digital Downloads	Kiosk		$2,477,858	$3,365,704
2015	Digital Downloads	Other Digital		$0	$0
2015	Digital Downloads	Ringtones & Ringbacks		$24,773,081	$33,649,569
2015	Digital Downloads	Total		$1,647,848,913	$2,238,292,707
2015	Physical	8 - Track		$0	$0
2015	Physical	Cassette		$0	$0
2015	Physical	Cassette Single		$0	$0
2015	Physical	CD		$844,751,348	$1,147,435,767
2015	Physical	CD Single		$501,950	$681,805
2015	Physical	DVD Audio		$3,109,509	$4,223,682
2015	Physical	LP/EP		$209,912,159	$285,126,173
2015	Physical	Music Video (Physical)		$35,353,263	$48,020,757
2015	Physical	Other Physical		$0	$0
2015	Physical	Other Tapes		$0	$0
2015	Physical	SACD		$624,666	$848,492
2015	Physical	Vinyl Single		$3,333,189	$4,527,511
2015	Physical	Total		$1,097,586,085	$1,490,864,187
2015	Streaming	Free Streaming		$371,990,396	$505,278,964
2015	Streaming	Other Streaming		$802,600,000	$1,090,181,092
2015	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2015	Streaming	Paid Subscriptions (Premium)		$636,189,686	$864,143,989
2015	Streaming	Total		$1,810,780,082	$2,459,604,045
2015	Synchronization	Synchronization		$202,934,888	$275,648,863
2015	Synchronization	Total		$202,934,888	$275,648,863
2015	Total	Total		$4,759,149,968	$6,464,409,802
2014	Digital Downloads	Download Album		$801,794,299	$1,090,379,418
2014	Digital Downloads	Download Music Video		$9,731,821	$13,234,538
2014	Digital Downloads	Download Single		$1,008,886,312	$1,372,008,844
2014	Digital Downloads	Kiosk		$1,723,700	$2,344,102
2014	Digital Downloads	Other Digital		$0	$0
2014	Digital Downloads	Ringtones & Ringbacks		$29,581,483	$40,228,573
2014	Digital Downloads	Total		$1,851,717,614	$2,518,195,474
2014	Physical	8 - Track		$0	$0
2014	Physical	Cassette		$0	$0
2014	Physical	Cassette Single		$0	$0
2014	Physical	CD		$1,022,612,984	$1,390,676,077
2014	Physical	CD Single		$1,938,438	$2,636,129
2014	Physical	DVD Audio		$1,266,825	$1,722,786
2014	Physical	LP/EP		$153,387,706	$208,595,643
2014	Physical	Music Video (Physical)		$42,521,194	$57,825,598
2014	Physical	Other Physical		$0	$0
2014	Physical	Other Tapes		$0	$0
2014	Physical	SACD		$399,115	$542,766
2014	Physical	Vinyl Single		$3,153,021	$4,287,869
2014	Physical	Total		$1,225,279,283	$1,666,286,869
2014	Streaming	Free Streaming		$283,793,409	$385,937,507
2014	Streaming	Other Streaming		$773,400,000	$1,051,765,326
2014	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2014	Streaming	Paid Subscriptions (Premium)		$423,648,807	$576,130,237
2014	Streaming	Total		$1,480,842,216	$2,013,833,070
2014	Synchronization	Synchronization		$189,713,099	$257,995,422
